da_acc,da_iou,da_miou,ll_acc,ll_iou,ll_miou,det_p,det_r,det_map50,det_map95
0.615,0.293,0.418,0.454,0.028,0.347,0.01,0.241,0.005,0.001
0.726,0.37,0.522,0.839,0.054,0.368,0.019,0.475,0.04,0.007
0.814,0.44,0.611,0.711,0.086,0.462,0.023,0.578,0.135,0.031
0.847,0.501,0.66,0.607,0.112,0.505,0.026,0.645,0.219,0.064
0.869,0.548,0.696,0.689,0.127,0.513,0.027,0.688,0.278,0.082
0.877,0.507,0.683,0.448,0.155,0.552,0.027,0.684,0.268,0.083
0.911,0.615,0.755,0.4,0.179,0.57,0.028,0.716,0.35,0.121
0.92,0.653,0.779,0.363,0.189,0.578,0.029,0.731,0.406,0.154
0.922,0.641,0.775,0.362,0.201,0.585,0.029,0.72,0.375,0.135
0.922,0.653,0.781,0.321,0.2,0.586,0.03,0.746,0.423,0.169
0.928,0.619,0.769,0.292,0.206,0.591,0.03,0.749,0.416,0.168
0.916,0.551,0.728,0.247,0.196,0.587,0.031,0.768,0.463,0.186
0.933,0.67,0.796,0.304,0.231,0.605,0.031,0.769,0.486,0.206
0.94,0.701,0.816,0.259,0.209,0.594,0.031,0.772,0.485,0.191
0.933,0.677,0.8,0.255,0.209,0.594,0.034,0.777,0.499,0.206
0.934,0.649,0.787,0.189,0.17,0.575,0.033,0.769,0.473,0.202
0.944,0.721,0.828,0.24,0.207,0.594,0.032,0.792,0.52,0.207
0.942,0.71,0.821,0.189,0.173,0.577,0.032,0.783,0.518,0.228
0.949,0.742,0.841,0.185,0.171,0.576,0.032,0.791,0.528,0.221
0.944,0.707,0.822,0.142,0.134,0.557,0.032,0.792,0.539,0.234
0.945,0.737,0.836,0.155,0.146,0.564,0.032,0.794,0.542,0.237
0.948,0.732,0.835,0.195,0.179,0.58,0.033,0.791,0.537,0.231
0.948,0.725,0.833,0.192,0.177,0.579,0.034,0.795,0.542,0.23
0.949,0.744,0.842,0.215,0.196,0.589,0.033,0.802,0.54,0.214
0.951,0.741,0.842,0.178,0.167,0.574,0.035,0.8,0.557,0.245
0.947,0.739,0.838,0.212,0.195,0.588,0.033,0.802,0.554,0.247
0.945,0.71,0.823,0.189,0.176,0.579,0.034,0.807,0.56,0.237
0.954,0.764,0.855,0.197,0.181,0.581,0.033,0.804,0.569,0.232
0.95,0.735,0.839,0.162,0.153,0.567,0.033,0.816,0.577,0.238
0.954,0.768,0.857,0.187,0.176,0.579,0.034,0.807,0.572,0.24
0.955,0.764,0.855,0.193,0.18,0.581,0.034,0.804,0.577,0.246
0.947,0.72,0.83,0.195,0.183,0.582,0.038,0.8,0.566,0.226
0.955,0.773,0.86,0.187,0.175,0.578,0.035,0.811,0.593,0.257
0.956,0.774,0.861,0.213,0.198,0.59,0.035,0.815,0.59,0.255
0.95,0.736,0.839,0.204,0.19,0.586,0.034,0.801,0.583,0.26
0.953,0.767,0.856,0.212,0.197,0.59,0.034,0.809,0.592,0.251
0.954,0.761,0.853,0.217,0.201,0.592,0.033,0.803,0.588,0.265
0.956,0.775,0.862,0.267,0.24,0.611,0.034,0.809,0.59,0.272
0.958,0.785,0.868,0.257,0.234,0.608,0.036,0.822,0.609,0.279
0.949,0.735,0.838,0.238,0.217,0.599,0.037,0.819,0.603,0.277
0.956,0.772,0.86,0.254,0.233,0.607,0.036,0.821,0.609,0.254
0.954,0.771,0.859,0.241,0.222,0.602,0.039,0.82,0.59,0.232
0.956,0.779,0.863,0.257,0.234,0.608,0.043,0.822,0.615,0.252
0.953,0.748,0.847,0.274,0.247,0.615,0.035,0.825,0.616,0.27
0.958,0.783,0.867,0.322,0.282,0.632,0.039,0.82,0.618,0.268
0.957,0.777,0.863,0.256,0.234,0.608,0.04,0.813,0.611,0.262
0.955,0.77,0.859,0.262,0.24,0.611,0.041,0.827,0.611,0.251
0.955,0.774,0.86,0.297,0.266,0.625,0.038,0.835,0.628,0.267
0.956,0.778,0.863,0.324,0.286,0.634,0.04,0.829,0.62,0.257
0.954,0.76,0.853,0.276,0.251,0.617,0.038,0.825,0.611,0.231
0.957,0.773,0.861,0.31,0.276,0.629,0.038,0.824,0.609,0.251
0.959,0.787,0.869,0.329,0.291,0.637,0.039,0.838,0.639,0.302
0.959,0.785,0.869,0.354,0.306,0.645,0.04,0.832,0.632,0.268
0.959,0.791,0.871,0.314,0.28,0.632,0.042,0.827,0.619,0.253
0.958,0.779,0.865,0.274,0.251,0.617,0.039,0.84,0.629,0.283
0.958,0.787,0.869,0.34,0.299,0.641,0.043,0.824,0.636,0.296
0.958,0.783,0.867,0.337,0.295,0.639,0.043,0.824,0.628,0.285
0.955,0.768,0.858,0.351,0.307,0.645,0.046,0.824,0.626,0.296
0.958,0.784,0.867,0.321,0.288,0.635,0.041,0.828,0.61,0.274
0.959,0.788,0.87,0.353,0.308,0.645,0.042,0.828,0.629,0.288
0.954,0.772,0.859,0.363,0.313,0.648,0.044,0.827,0.628,0.274
0.958,0.785,0.868,0.322,0.288,0.636,0.045,0.828,0.633,0.29
0.958,0.78,0.865,0.38,0.324,0.654,0.045,0.819,0.62,0.272
0.956,0.783,0.866,0.345,0.304,0.644,0.042,0.83,0.642,0.291
0.96,0.793,0.873,0.347,0.307,0.645,0.041,0.831,0.635,0.287
0.958,0.789,0.869,0.344,0.305,0.644,0.044,0.834,0.642,0.298
0.957,0.775,0.862,0.376,0.323,0.653,0.051,0.832,0.642,0.296
0.958,0.786,0.868,0.323,0.289,0.636,0.039,0.83,0.639,0.295
0.96,0.791,0.872,0.332,0.295,0.639,0.046,0.825,0.644,0.314
0.958,0.79,0.87,0.351,0.31,0.647,0.06,0.816,0.623,0.285
0.959,0.781,0.866,0.346,0.307,0.645,0.052,0.834,0.648,0.273
0.959,0.784,0.868,0.365,0.316,0.65,0.051,0.809,0.601,0.238
0.957,0.784,0.867,0.36,0.316,0.65,0.046,0.84,0.642,0.305
0.96,0.794,0.874,0.397,0.337,0.66,0.047,0.827,0.64,0.28
0.956,0.766,0.857,0.343,0.304,0.643,0.046,0.829,0.629,0.282
0.962,0.803,0.879,0.408,0.346,0.665,0.059,0.828,0.643,0.308
0.959,0.785,0.869,0.414,0.348,0.666,0.048,0.834,0.648,0.293
0.958,0.78,0.865,0.409,0.346,0.665,0.054,0.834,0.637,0.297
0.96,0.793,0.873,0.433,0.359,0.672,0.056,0.832,0.643,0.265
0.957,0.77,0.86,0.414,0.349,0.666,0.046,0.833,0.645,0.292
0.958,0.786,0.868,0.396,0.337,0.66,0.053,0.832,0.638,0.284
0.961,0.802,0.878,0.408,0.345,0.664,0.045,0.838,0.656,0.328
0.961,0.795,0.874,0.461,0.372,0.678,0.06,0.832,0.64,0.26
0.958,0.786,0.868,0.447,0.365,0.674,0.059,0.822,0.639,0.287
0.96,0.795,0.874,0.456,0.367,0.675,0.056,0.832,0.655,0.299
0.96,0.795,0.874,0.457,0.373,0.678,0.057,0.827,0.638,0.296
0.961,0.797,0.875,0.485,0.386,0.685,0.054,0.842,0.662,0.3
0.959,0.794,0.872,0.462,0.374,0.679,0.058,0.843,0.663,0.292
0.959,0.787,0.869,0.462,0.374,0.679,0.052,0.834,0.647,0.273
0.961,0.796,0.875,0.471,0.376,0.68,0.061,0.84,0.658,0.287
0.959,0.79,0.871,0.489,0.382,0.682,0.061,0.838,0.663,0.321
0.957,0.772,0.861,0.465,0.378,0.681,0.058,0.828,0.648,0.278
0.957,0.787,0.868,0.46,0.371,0.677,0.055,0.824,0.648,0.297
0.96,0.791,0.872,0.468,0.379,0.681,0.063,0.826,0.654,0.289
0.959,0.791,0.872,0.484,0.383,0.683,0.055,0.834,0.658,0.304
0.961,0.801,0.877,0.455,0.374,0.679,0.064,0.828,0.655,0.301
0.961,0.798,0.876,0.487,0.389,0.686,0.063,0.827,0.658,0.32
0.961,0.797,0.875,0.46,0.373,0.679,0.058,0.834,0.662,0.335
0.958,0.779,0.865,0.452,0.369,0.676,0.06,0.828,0.668,0.346
0.961,0.802,0.878,0.474,0.383,0.683,0.066,0.829,0.656,0.299
0.962,0.8,0.877,0.463,0.376,0.68,0.053,0.836,0.648,0.303
0.959,0.79,0.871,0.481,0.388,0.686,0.068,0.834,0.66,0.32
0.959,0.788,0.87,0.469,0.379,0.681,0.065,0.824,0.655,0.294
0.961,0.797,0.875,0.474,0.383,0.683,0.068,0.822,0.648,0.289
0.959,0.787,0.869,0.468,0.38,0.682,0.059,0.827,0.654,0.321
0.96,0.787,0.87,0.471,0.38,0.682,0.064,0.84,0.667,0.331
0.959,0.791,0.871,0.496,0.39,0.687,0.054,0.831,0.662,0.316
0.96,0.796,0.874,0.498,0.39,0.687,0.063,0.831,0.663,0.321
0.961,0.793,0.874,0.502,0.393,0.688,0.07,0.827,0.657,0.318
0.954,0.756,0.851,0.464,0.375,0.679,0.063,0.84,0.671,0.329
0.961,0.793,0.873,0.483,0.386,0.685,0.064,0.831,0.655,0.337
